host,user,passwd,cwd,local_root,file_reg 
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/pressure,^air\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/pressure,^hgt\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/pressure,^omega\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/pressure,^rhum\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/pressure,^shum\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/pressure,^uwnd\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/pressure,^vwnd\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/surface,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/surface,^pr_wtr\.eatm\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis.dailyavgs/surface,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis.dailyavgs/surface,^slp\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis2.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis2.dailyavgs/pressure,^air\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis2.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis2.dailyavgs/pressure,^hgt\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis2.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis2.dailyavgs/pressure,^omega\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis2.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis2.dailyavgs/pressure,^rhum\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis2.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis2.dailyavgs/pressure,^uwnd\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis2.dailyavgs/pressure,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis2.dailyavgs/pressure,^vwnd\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis2.dailyavgs/surface,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis2.dailyavgs/surface,^mslp\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/ncep.reanalysis2.dailyavgs/surface,/DATA/CPS_Data/ncep_reanalysis/Datasets/ncep.reanalysis2.dailyavgs/surface,^pr_wtr\.eatm\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/cpc_global_precip,/DATA/CPS_Data/ncep_reanalysis/Datasets/cpc_global_precip,^precip\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/cpc_global_temp,/DATA/CPS_Data/ncep_reanalysis/Datasets/cpc_global_temp,^tmax\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/cpc_global_temp,/DATA/CPS_Data/ncep_reanalysis/Datasets/cpc_global_temp,^tmin\.\d{4}\.nc$
ftp2.psl.noaa.gov,,,Datasets/noaa.ersst.v5,/DATA/CPS_Data/ncep_reanalysis/Datasets/noaa.ersst.v5,^sst\.mnmean\.nc$
ftp2.psl.noaa.gov,,,Datasets/noaa.oisst.v2.highres,/DATA/CPS_Data/ncep_reanalysis/Datasets/noaa.oisst.v2.highres,^sst\.day\.mean\.\d{4}\.nc$
